country,city,occupation,field,years_of_experience,salary,employment_type,education_level,gender,company_size,year,month
New Zealand,Auckland,Data Scientist,Technology,22,182021,part_time,Master,Female,Small,2022,9
Singapore,Singapore,Product Manager,Technology,4,366198,internship,PhD,Male,Large,2023,8
United Kingdom,London,UX Designer,Design,16,265508,freelance,High School,Female,Enterprise,2024,9
United States,San Francisco,Data Analyst,Technology,18,208993,work_from_home,Master,Other,Small,2024,2
Singapore,Singapore,AI Engineer,Technology,20,310707,internship,PhD,Male,Medium,2022,2
India,Bangalore,Data Analyst,Technology,19,99227,part_time,Master,Female,Enterprise,2024,10
Mexico,Mexico City,HR Analyst,Human Resources,1,53222,full_time,High School,Other,Enterprise,2022,5
United Arab Emirates,Dubai,HR Analyst,Human Resources,13,230286,part_time,Master,Male,Large,2023,7
New Zealand,Auckland,Marketing Specialist,Marketing,3,109537,freelance,PhD,Female,Medium,2022,9
Japan,Tokyo,Product Manager,Technology,22,341673,internship,Bachelor,Other,Medium,2024,6
Sweden,Stockholm,Financial Analyst,Finance,13,332972,internship,PhD,Female,Large,2022,11
South Africa,Cape Town,Operations Manager,Operations,21,206682,work_from_home,Master,Female,Enterprise,2024,6
Australia,Sydney,HR Analyst,Human Resources,13,215467,freelance,Bachelor,Female,Enterprise,2025,4
Australia,Sydney,HR Analyst,Human Resources,12,116653,internship,High School,Other,Small,2023,3
France,Paris,Business Analyst,Business,6,163963,freelance,Bachelor,Female,Medium,2023,7
Ireland,Dublin,HR Analyst,Human Resources,23,193325,work_from_home,PhD,Female,Small,2023,7
France,Paris,UX Designer,Design,3,100817,part_time,High School,Female,Medium,2022,2
France,Paris,Data Analyst,Technology,7,161344,internship,Master,Female,Enterprise,2025,6
Spain,Madrid,Product Manager,Technology,13,360305,internship,Master,Male,Enterprise,2025,12
Germany,Berlin,Cloud Engineer,Technology,15,330050,part_time,Bachelor,Female,Enterprise,2022,3
Italy,Milan,Business Analyst,Business,7,245654,full_time,High School,Male,Medium,2024,2
Mexico,Mexico City,Product Manager,Technology,13,167959,internship,PhD,Other,Small,2024,5
Japan,Tokyo,Cloud Engineer,Technology,25,327768,internship,PhD,Other,Small,2022,2
Singapore,Singapore,Marketing Specialist,Marketing,8,156266,freelance,High School,Female,Enterprise,2024,10
Australia,Sydney,Data Analyst,Technology,15,148857,part_time,High School,Male,Small,2024,4
Ireland,Dublin,Data Analyst,Technology,8,247506,internship,Master,Male,Enterprise,2022,3
Spain,Madrid,Financial Analyst,Finance,4,153056,work_from_home,PhD,Other,Small,2022,3
South Korea,Seoul,Product Manager,Technology,3,210620,part_time,PhD,Other,Medium,2022,7
Sweden,Stockholm,Data Scientist,Technology,19,208624,part_time,High School,Male,Medium,2022,2
France,Paris,Financial Analyst,Finance,16,281493,work_from_home,PhD,Other,Large,2024,2
South Korea,Seoul,Operations Manager,Operations,25,180278,freelance,High School,Male,Medium,2022,12
United States,San Francisco,Cloud Engineer,Technology,20,272167,full_time,High School,Female,Enterprise,2023,6
India,Bangalore,AI Engineer,Technology,24,103404,full_time,High School,Male,Medium,2025,8
South Korea,Seoul,Product Manager,Technology,8,334557,part_time,PhD,Other,Large,2023,11
South Africa,Cape Town,Product Manager,Technology,17,334423,freelance,High School,Male,Enterprise,2024,11
Australia,Sydney,Software Engineer,Technology,15,337897,part_time,Master,Female,Enterprise,2024,4
France,Paris,UX Designer,Design,16,226949,freelance,Master,Other,Large,2023,2
Canada,Toronto,Marketing Specialist,Marketing,14,171393,part_time,Bachelor,Male,Small,2025,8
Ireland,Dublin,UX Designer,Design,3,133428,full_time,High School,Male,Large,2022,4
India,Bangalore,Data Scientist,Technology,13,117357,work_from_home,Master,Female,Enterprise,2025,2
Italy,Milan,Operations Manager,Operations,3,109221,freelance,Bachelor,Male,Small,2024,1
Brazil,Sao Paulo,Data Analyst,Technology,20,117431,work_from_home,Bachelor,Female,Medium,2024,9
Germany,Berlin,Data Scientist,Technology,15,370000,part_time,PhD,Male,Enterprise,2024,11
Switzerland,Zurich,Operations Manager,Operations,10,208117,internship,High School,Female,Large,2022,10
United Kingdom,London,Data Analyst,Technology,0,93275,freelance,Bachelor,Male,Small,2022,4
United States,San Francisco,Marketing Specialist,Marketing,8,188997,internship,PhD,Female,Medium,2023,2
Italy,Milan,AI Engineer,Technology,0,119309,part_time,Master,Male,Large,2022,1
Switzerland,Zurich,Marketing Specialist,Marketing,18,367472,work_from_home,Master,Other,Enterprise,2024,12
South Africa,Cape Town,UX Designer,Design,0,45139,full_time,PhD,Male,Small,2024,12
India,Bangalore,AI Engineer,Technology,8,257698,full_time,Bachelor,Female,Large,2022,10
Australia,Sydney,Marketing Specialist,Marketing,13,118484,freelance,High School,Other,Small,2024,4
South Korea,Seoul,Business Analyst,Business,14,163750,internship,High School,Other,Medium,2024,12
Mexico,Mexico City,Software Engineer,Technology,10,144752,work_from_home,High School,Male,Enterprise,2023,6
United States,San Francisco,Financial Analyst,Finance,10,359078,work_from_home,Master,Female,Enterprise,2023,6
South Korea,Seoul,Business Analyst,Business,3,129986,full_time,Bachelor,Male,Medium,2024,9
Germany,Berlin,Financial Analyst,Finance,20,362327,full_time,Bachelor,Male,Medium,2023,7
United States,San Francisco,HR Analyst,Human Resources,19,256876,part_time,Master,Other,Medium,2024,6
Netherlands,Amsterdam,Product Manager,Technology,12,248057,part_time,Bachelor,Male,Large,2023,6
India,Bangalore,Cloud Engineer,Technology,1,63049,full_time,Bachelor,Female,Medium,2025,12
Singapore,Singapore,AI Engineer,Technology,18,357017,work_from_home,PhD,Other,Medium,2023,3
Germany,Berlin,UX Designer,Design,25,163625,freelance,Bachelor,Female,Small,2024,3
Singapore,Singapore,UX Designer,Design,17,244384,full_time,Master,Other,Small,2024,10
Singapore,Singapore,AI Engineer,Technology,14,346439,freelance,Master,Female,Enterprise,2022,8
United States,New York,Cloud Engineer,Technology,7,362219,freelance,Bachelor,Other,Medium,2024,3
Spain,Madrid,HR Analyst,Human Resources,25,214509,part_time,Master,Female,Enterprise,2022,6
South Africa,Cape Town,Data Analyst,Technology,10,77995,internship,PhD,Other,Small,2024,10
France,Paris,Business Analyst,Business,1,113306,work_from_home,PhD,Other,Small,2022,4
Mexico,Mexico City,HR Analyst,Human Resources,18,92230,full_time,Bachelor,Male,Medium,2025,2
United Kingdom,London,Financial Analyst,Finance,8,152875,work_from_home,Master,Other,Small,2022,12
Netherlands,Amsterdam,UX Designer,Design,7,142611,part_time,Bachelor,Female,Small,2025,11
United States,San Francisco,Operations Manager,Operations,5,310837,freelance,Master,Male,Large,2025,5
United Kingdom,London,Operations Manager,Operations,18,240435,part_time,PhD,Female,Small,2023,5
South Korea,Seoul,Financial Analyst,Finance,14,231898,freelance,Master,Other,Medium,2024,3
United States,New York,HR Analyst,Human Resources,18,239295,work_from_home,PhD,Other,Medium,2022,5
Australia,Sydney,Software Engineer,Technology,14,327673,full_time,Master,Male,Enterprise,2024,4
Singapore,Singapore,HR Analyst,Human Resources,18,230407,full_time,Master,Female,Enterprise,2024,12
South Korea,Seoul,Software Engineer,Technology,15,186379,part_time,Bachelor,Female,Medium,2023,8
France,Paris,Software Engineer,Technology,22,324048,freelance,Bachelor,Other,Large,2025,12
Germany,Berlin,Business Analyst,Business,12,280520,internship,PhD,Other,Large,2022,7
United States,San Francisco,Product Manager,Technology,5,332952,internship,Master,Female,Large,2025,5
Mexico,Mexico City,Operations Manager,Operations,21,185121,internship,PhD,Male,Medium,2022,12
Germany,Berlin,Cloud Engineer,Technology,7,189271,internship,Bachelor,Female,Small,2024,5
India,Bangalore,Operations Manager,Operations,11,118845,part_time,PhD,Female,Medium,2024,10
Mexico,Mexico City,HR Analyst,Human Resources,0,36439,full_time,Master,Female,Small,2024,11
Japan,Tokyo,Data Scientist,Technology,23,229479,freelance,High School,Male,Large,2022,9
Australia,Sydney,Operations Manager,Operations,12,212428,part_time,High School,Male,Enterprise,2022,10
Singapore,Singapore,Marketing Specialist,Marketing,8,204894,internship,Bachelor,Other,Enterprise,2022,12
India,Bangalore,Financial Analyst,Finance,1,67051,part_time,PhD,Male,Small,2025,5
Germany,Berlin,Product Manager,Technology,6,218225,freelance,Bachelor,Other,Small,2025,5
Canada,Toronto,Software Engineer,Technology,20,312879,work_from_home,Master,Other,Large,2024,9
Singapore,Singapore,Cloud Engineer,Technology,1,296167,freelance,Master,Female,Enterprise,2024,8
Spain,Madrid,Marketing Specialist,Marketing,14,177579,work_from_home,High School,Other,Large,2024,3
Australia,Sydney,Data Analyst,Technology,3,170048,full_time,Master,Other,Medium,2025,2
Canada,Toronto,Operations Manager,Operations,4,251152,freelance,Master,Female,Enterprise,2025,3
Italy,Milan,UX Designer,Design,2,117791,part_time,High School,Female,Medium,2022,2
Canada,Toronto,AI Engineer,Technology,19,244599,part_time,Bachelor,Female,Small,2023,9
Canada,Toronto,Software Engineer,Technology,22,364522,part_time,PhD,Male,Medium,2024,1
Netherlands,Amsterdam,Data Analyst,Technology,18,185572,freelance,Bachelor,Other,Enterprise,2023,4
France,Paris,Data Scientist,Technology,2,177430,part_time,Bachelor,Male,Enterprise,2022,6
Canada,Toronto,Data Scientist,Technology,5,225178,part_time,Master,Male,Small,2025,2
Germany,Berlin,Data Scientist,Technology,22,365725,full_time,PhD,Female,Medium,2024,12
Mexico,Mexico City,Product Manager,Technology,20,160823,internship,High School,Female,Large,2024,8
Sweden,Stockholm,Cloud Engineer,Technology,12,265745,full_time,High School,Male,Enterprise,2024,8
Australia,Sydney,Data Analyst,Technology,20,241540,part_time,PhD,Other,Small,2023,2
United States,San Francisco,UX Designer,Design,6,231486,freelance,Master,Other,Large,2025,6
France,Paris,Marketing Specialist,Marketing,9,154569,freelance,Bachelor,Other,Medium,2025,11
Australia,Sydney,Data Analyst,Technology,2,115635,full_time,High School,Female,Large,2023,9
United Arab Emirates,Dubai,Financial Analyst,Finance,15,232080,internship,Master,Other,Medium,2022,5
Spain,Madrid,Data Analyst,Technology,0,77553,full_time,Bachelor,Other,Medium,2024,3
United Arab Emirates,Dubai,Financial Analyst,Finance,11,200444,full_time,High School,Other,Enterprise,2025,7
South Korea,Seoul,Software Engineer,Technology,8,145116,freelance,High School,Male,Medium,2023,6
Sweden,Stockholm,Data Scientist,Technology,25,221111,part_time,High School,Female,Medium,2022,2
Japan,Tokyo,AI Engineer,Technology,3,200910,internship,High School,Male,Large,2023,7
Brazil,Sao Paulo,Marketing Specialist,Marketing,21,88539,full_time,High School,Male,Large,2025,3
Italy,Milan,Business Analyst,Business,4,162183,part_time,Master,Male,Large,2024,7
Mexico,Mexico City,Software Engineer,Technology,4,93244,work_from_home,High School,Male,Small,2025,3
India,Bangalore,Data Scientist,Technology,1,68734,part_time,High School,Female,Large,2023,5
United Arab Emirates,Dubai,UX Designer,Design,19,210397,internship,High School,Male,Large,2023,8
Spain,Madrid,Operations Manager,Operations,6,221145,internship,Master,Male,Enterprise,2025,10
Canada,Toronto,Data Scientist,Technology,4,265439,part_time,Master,Other,Enterprise,2025,8
Brazil,Sao Paulo,Cloud Engineer,Technology,5,225405,part_time,Master,Male,Enterprise,2025,4
Mexico,Mexico City,Operations Manager,Operations,6,82869,freelance,Master,Other,Small,2023,3
Mexico,Mexico City,Product Manager,Technology,22,189669,internship,Master,Other,Medium,2023,11
India,Bangalore,Cloud Engineer,Technology,3,73888,internship,PhD,Other,Medium,2025,8
South Africa,Cape Town,AI Engineer,Technology,17,170330,freelance,Master,Male,Medium,2022,4
United Arab Emirates,Dubai,Marketing Specialist,Marketing,4,205666,internship,PhD,Other,Large,2022,6
Netherlands,Amsterdam,Marketing Specialist,Marketing,6,180434,internship,PhD,Female,Medium,2023,5
United Kingdom,London,Business Analyst,Business,8,270673,work_from_home,Master,Female,Large,2024,12
United Arab Emirates,Dubai,Software Engineer,Technology,11,276969,internship,Master,Female,Small,2023,11
Sweden,Stockholm,Business Analyst,Business,13,228416,work_from_home,PhD,Male,Small,2024,12
Netherlands,Amsterdam,Data Scientist,Technology,17,350111,freelance,Master,Male,Enterprise,2022,3
Ireland,Dublin,Software Engineer,Technology,12,198742,full_time,Master,Male,Small,2022,11
South Africa,Cape Town,Financial Analyst,Finance,8,83277,freelance,Bachelor,Other,Small,2025,11
Ireland,Dublin,Data Scientist,Technology,21,221515,freelance,High School,Other,Enterprise,2025,3
Switzerland,Zurich,Financial Analyst,Finance,15,338421,internship,PhD,Female,Large,2022,3
Brazil,Sao Paulo,Data Scientist,Technology,6,173329,part_time,Master,Male,Medium,2023,6
Mexico,Mexico City,Marketing Specialist,Marketing,11,137629,work_from_home,PhD,Other,Enterprise,2024,5
South Africa,Cape Town,HR Analyst,Human Resources,21,92961,internship,Master,Female,Large,2022,8
United Arab Emirates,Dubai,Data Analyst,Technology,25,208213,full_time,Bachelor,Male,Large,2024,3
United Arab Emirates,Dubai,Marketing Specialist,Marketing,9,184054,full_time,High School,Male,Large,2025,2
Netherlands,Amsterdam,Marketing Specialist,Marketing,23,230796,freelance,PhD,Female,Small,2025,4
Mexico,Mexico City,Business Analyst,Business,19,112697,full_time,Master,Female,Small,2025,11
Germany,Berlin,Data Scientist,Technology,1,149681,full_time,Bachelor,Male,Small,2024,11
South Korea,Seoul,Data Analyst,Technology,11,150928,work_from_home,Bachelor,Other,Medium,2024,11
Mexico,Mexico City,Data Scientist,Technology,12,88162,full_time,High School,Other,Small,2023,5
Spain,Madrid,Operations Manager,Operations,11,195521,part_time,Bachelor,Other,Enterprise,2024,2
Mexico,Mexico City,Operations Manager,Operations,17,159444,full_time,Bachelor,Female,Medium,2025,2
New Zealand,Auckland,Product Manager,Technology,16,270353,freelance,Master,Female,Medium,2023,2
India,Bangalore,Data Analyst,Technology,8,61372,freelance,Master,Female,Small,2024,5
United Kingdom,London,Product Manager,Technology,4,202614,internship,Bachelor,Male,Medium,2023,1
Sweden,Stockholm,Business Analyst,Business,19,281001,part_time,Master,Male,Enterprise,2025,4
Spain,Madrid,Business Analyst,Business,11,145848,part_time,High School,Female,Large,2023,11
France,Paris,Cloud Engineer,Technology,12,318741,work_from_home,Bachelor,Other,Enterprise,2025,11
Italy,Milan,Software Engineer,Technology,12,161932,part_time,High School,Other,Large,2023,5
Switzerland,Zurich,Marketing Specialist,Marketing,25,181115,freelance,High School,Other,Small,2025,4
Australia,Sydney,Marketing Specialist,Marketing,4,227775,freelance,Master,Other,Enterprise,2025,4
Japan,Tokyo,Operations Manager,Operations,8,253519,internship,Master,Other,Medium,2022,7
United States,San Francisco,Software Engineer,Technology,10,167702,freelance,High School,Male,Small,2022,3
Australia,Sydney,AI Engineer,Technology,2,268249,full_time,Master,Female,Large,2024,2
Ireland,Dublin,Financial Analyst,Finance,12,260455,work_from_home,PhD,Male,Small,2024,8
France,Paris,Data Scientist,Technology,19,251974,internship,High School,Other,Enterprise,2022,7
Brazil,Sao Paulo,Marketing Specialist,Marketing,15,105500,part_time,Bachelor,Male,Medium,2024,8
Singapore,Singapore,Data Scientist,Technology,4,196054,internship,Bachelor,Male,Large,2022,7
Japan,Tokyo,Cloud Engineer,Technology,0,145383,work_from_home,PhD,Other,Medium,2023,9
Singapore,Singapore,Data Scientist,Technology,10,174532,freelance,High School,Male,Small,2023,2
Canada,Toronto,AI Engineer,Technology,10,352117,part_time,PhD,Male,Enterprise,2022,1
Canada,Toronto,Operations Manager,Operations,6,255144,work_from_home,PhD,Other,Large,2024,6
New Zealand,Auckland,Data Analyst,Technology,8,235268,work_from_home,Master,Other,Enterprise,2025,10
Switzerland,Zurich,HR Analyst,Human Resources,4,125970,full_time,Bachelor,Other,Small,2023,3
Sweden,Stockholm,HR Analyst,Human Resources,23,197335,part_time,PhD,Female,Large,2022,6
Ireland,Dublin,Software Engineer,Technology,19,199837,part_time,High School,Other,Small,2024,1
New Zealand,Auckland,Cloud Engineer,Technology,15,257593,full_time,Bachelor,Other,Medium,2024,1
France,Paris,Cloud Engineer,Technology,5,207692,work_from_home,Master,Other,Small,2024,4
United Kingdom,London,Financial Analyst,Finance,8,258245,freelance,Master,Female,Enterprise,2022,2
United Arab Emirates,Dubai,HR Analyst,Human Resources,13,202642,freelance,PhD,Male,Large,2022,6
Sweden,Stockholm,Data Analyst,Technology,13,190006,work_from_home,Master,Female,Small,2023,3
Australia,Sydney,Financial Analyst,Finance,24,223299,freelance,PhD,Male,Small,2022,12
United States,New York,Software Engineer,Technology,7,307889,work_from_home,Bachelor,Female,Medium,2025,2
Japan,Tokyo,Financial Analyst,Finance,11,305705,part_time,Master,Other,Enterprise,2025,12
United States,San Francisco,Cloud Engineer,Technology,11,196622,work_from_home,High School,Male,Small,2022,6
United Arab Emirates,Dubai,HR Analyst,Human Resources,10,161781,full_time,Bachelor,Female,Large,2022,5
Italy,Milan,Marketing Specialist,Marketing,10,81179,full_time,High School,Male,Small,2025,7
Switzerland,Zurich,AI Engineer,Technology,8,226778,part_time,Bachelor,Other,Small,2022,10
Ireland,Dublin,AI Engineer,Technology,11,181404,freelance,High School,Female,Medium,2022,4
France,Paris,Business Analyst,Business,14,223648,full_time,Master,Male,Small,2025,6
India,Bangalore,Financial Analyst,Finance,11,76476,freelance,Master,Other,Small,2023,11
India,Bangalore,Software Engineer,Technology,1,18763,internship,Bachelor,Other,Small,2022,7
New Zealand,Auckland,Cloud Engineer,Technology,10,227475,freelance,Bachelor,Female,Large,2023,4
Italy,Milan,HR Analyst,Human Resources,14,144472,part_time,Master,Female,Medium,2022,2
Spain,Madrid,AI Engineer,Technology,9,366098,full_time,PhD,Male,Enterprise,2024,4
United States,San Francisco,Data Scientist,Technology,3,286410,full_time,PhD,Female,Small,2023,1
Brazil,Sao Paulo,Data Analyst,Technology,21,152306,part_time,Master,Male,Large,2025,3
New Zealand,Auckland,Cloud Engineer,Technology,11,191711,freelance,Master,Male,Medium,2022,10
United States,San Francisco,AI Engineer,Technology,15,357907,internship,PhD,Male,Large,2023,10
New Zealand,Auckland,Software Engineer,Technology,20,330293,part_time,Master,Other,Enterprise,2023,4
South Korea,Seoul,Product Manager,Technology,19,205455,work_from_home,Master,Male,Small,2023,11
Canada,Toronto,Data Analyst,Technology,5,188501,freelance,Master,Female,Large,2022,4
Italy,Milan,Business Analyst,Business,9,215925,work_from_home,PhD,Female,Small,2025,10
India,Bangalore,Operations Manager,Operations,5,83890,internship,Master,Male,Large,2025,9
Mexico,Mexico City,Data Analyst,Technology,11,62478,part_time,High School,Other,Small,2023,10
New Zealand,Auckland,Product Manager,Technology,16,279040,work_from_home,PhD,Female,Small,2025,4
Ireland,Dublin,UX Designer,Design,17,219017,full_time,High School,Male,Enterprise,2022,3
Brazil,Sao Paulo,Business Analyst,Business,1,81004,work_from_home,Master,Female,Small,2022,2
Sweden,Stockholm,Software Engineer,Technology,0,113850,work_from_home,High School,Female,Large,2024,2
South Korea,Seoul,Financial Analyst,Finance,9,182069,freelance,PhD,Male,Small,2022,1
South Korea,Seoul,UX Designer,Design,18,208659,freelance,Bachelor,Other,Large,2022,4
Canada,Toronto,Business Analyst,Business,17,226001,part_time,Master,Male,Medium,2024,12
France,Paris,Operations Manager,Operations,7,185432,full_time,PhD,Female,Small,2024,7
Netherlands,Amsterdam,Software Engineer,Technology,19,356365,part_time,Master,Female,Enterprise,2024,2
New Zealand,Auckland,AI Engineer,Technology,11,230033,full_time,Master,Male,Medium,2023,7
United Kingdom,London,UX Designer,Design,10,156316,freelance,High School,Other,Large,2023,11
New Zealand,Auckland,Software Engineer,Technology,17,344042,part_time,PhD,Female,Large,2025,9
Germany,Berlin,AI Engineer,Technology,1,187946,work_from_home,PhD,Other,Small,2025,7
Brazil,Sao Paulo,Business Analyst,Business,12,175432,internship,PhD,Male,Large,2022,1
France,Paris,Cloud Engineer,Technology,2,209221,part_time,PhD,Other,Medium,2025,11
France,Paris,Data Analyst,Technology,20,198469,part_time,High School,Male,Enterprise,2024,10
Singapore,Singapore,Cloud Engineer,Technology,15,216128,work_from_home,High School,Female,Small,2025,6
United Kingdom,London,HR Analyst,Human Resources,24,181394,internship,High School,Male,Large,2024,11
France,Paris,Operations Manager,Operations,9,198891,internship,Bachelor,Male,Large,2022,12
Germany,Berlin,Product Manager,Technology,18,262194,internship,Bachelor,Female,Small,2024,5
United States,New York,Financial Analyst,Finance,8,370000,work_from_home,Master,Other,Large,2024,10
France,Paris,Software Engineer,Technology,5,263628,part_time,Master,Male,Large,2023,8
South Korea,Seoul,Cloud Engineer,Technology,25,267342,work_from_home,Master,Female,Medium,2024,12
South Korea,Seoul,UX Designer,Design,21,184216,full_time,Bachelor,Other,Medium,2023,12
Netherlands,Amsterdam,UX Designer,Design,18,196515,freelance,Bachelor,Other,Small,2024,9
Spain,Madrid,Financial Analyst,Finance,2,172981,freelance,Master,Female,Large,2022,2
Germany,Berlin,AI Engineer,Technology,23,297585,freelance,Master,Other,Small,2024,11
Sweden,Stockholm,Data Analyst,Technology,10,191617,work_from_home,High School,Male,Enterprise,2023,10
South Korea,Seoul,Financial Analyst,Finance,15,267113,work_from_home,Master,Other,Large,2025,10
Japan,Tokyo,Operations Manager,Operations,13,260290,freelance,Master,Other,Enterprise,2023,11
Brazil,Sao Paulo,Operations Manager,Operations,8,169672,freelance,Master,Male,Enterprise,2024,9
India,Bangalore,Financial Analyst,Finance,25,95524,full_time,Master,Male,Large,2025,9
South Africa,Cape Town,Operations Manager,Operations,22,215168,internship,PhD,Female,Large,2022,11
